ID,Profit
0,190752.82398770112
1,191482.24480931382
2,191046.988159665
3,182750.06679421643
4,166219.17586489895
5,157001.81446069037
6,140384.4604286238
7,155772.12311651788
8,152126.64166680275
9,146202.2611482398
10,144816.98285860466
11,138131.47212481152
12,141576.6006077312
13,134307.32837154658
14,136426.730763151
15,130745.02272479837
16,126423.13277952548
17,132060.4434128289
18,137711.46820363592
19,125274.93430150945
20,65543.21592843693
21,111827.67425140322
22,110216.4616022207
23,109205.7067492957
24,108390.95795599968
25,106779.97219551513
26,105682.36816552203
27,110406.60491293232
28,101404.03848026275
29,101432.24721016313
30,100008.22045682881
31,97833.11541219488
32,96955.76545292971
33,96772.67881441306
34,96784.7049799101
35,96118.65818658905
36,90417.22211635183
37,89406.54929087427
38,80780.59697093873
39,89045.77871586538
40,95549.5455722061
41,77697.87824002188
42,72111.02191213591
43,61139.945768034006
44,65010.30479392943
45,44883.71040833868
46,67428.08908751067
47,52212.759781695204
48,48241.027622436646
49,14831.626105041783
